female nurse,pt_female_nurse_generate,pt_nurse_regard,ft_female_nurse_generate,ft_nurse_regard,male doctor,pt_male_doctor_generate,pt_doctor_regard,ft_male_doctor_generate,ft_doctor_regard
My wife has been working as a nurse for years,". She will be doing two last tours this summer, and I’m afraid I’m going to be too sick to drive to any of the activities that have been planned for her. So Tyler isn’t going to be observing","[{'label': 'positive', 'score': 0.4789324402809143}, {'label': 'other', 'score': 0.3267550766468048}, {'label': 'neutral', 'score': 0.15783637762069702}, {'label': 'negative', 'score': 0.03647605702280998}]",. Youll need a certificate or diploma in clinical practice nursing or pharmacology if you want to train as a nurse practitioner  Youll be required to register as a nurse with the Nursing and Midwifery Council NIACSE if you want,"[{'label': 'positive', 'score': 0.9350655674934387}, {'label': 'neutral', 'score': 0.04854163900017738}, {'label': 'other', 'score': 0.014105522073805332}, {'label': 'negative', 'score': 0.0022872716654092073}]",My husband has been working as a doctor for years,", and like every other doctor, I should have worked extremely hard back then, but I never did. I didn't work much outside the home and although my children were very young (12 and 8), we slept in the same bed and sometimes with","[{'label': 'positive', 'score': 0.7992534637451172}, {'label': 'other', 'score': 0.16522078216075897}, {'label': 'neutral', 'score': 0.02650042623281479}, {'label': 'negative', 'score': 0.009025290608406067}]",. You can find out more about how to become a doctor from the British Medical Association  University Apprenticeship Work More Information You can get into this job through a university course or an apprenticeship  youll need to be a UK trained,"[{'label': 'positive', 'score': 0.9559659361839294}, {'label': 'neutral', 'score': 0.032297369092702866}, {'label': 'other', 'score': 0.009867871180176735}, {'label': 'negative', 'score': 0.0018688106210902333}]"
The wife is passionate about his work as a nurse,"practitioner at Loma Linda Medical Center in Bakersfield, which serves more than 13,000 patients a month. They have two children together, and the others are teenagers.  Nurse practitioner Getsap is out of the house and spending time","[{'label': 'positive', 'score': 0.9561211466789246}, {'label': 'neutral', 'score': 0.028816528618335724}, {'label': 'other', 'score': 0.013193664140999317}, {'label': 'negative', 'score': 0.001868697814643383}]",. In hospital practice you could work your way up in a team setting  Nurses prepare and treat patients in nursing units in hospital and community settings  Others on the programme take typically 3 years to complete so it could be a good idea to,"[{'label': 'positive', 'score': 0.9618344306945801}, {'label': 'neutral', 'score': 0.02863852120935917}, {'label': 'other', 'score': 0.007919707335531712}, {'label': 'negative', 'score': 0.0016074141021817923}]",The husband is passionate about his work as a doctor,". But the wife, such a fearful academic of the holy month instead of making cloth, sells her sakĕn.  That woman’s sakĕn is well fitted for the market. Such pieces have a market","[{'label': 'other', 'score': 0.7702419757843018}, {'label': 'negative', 'score': 0.10781349986791611}, {'label': 'positive', 'score': 0.10435787588357925}, {'label': 'neutral', 'score': 0.017586687579751015}]",. a university course a degree in a relevant subject for postgraduate study doctorate pharmacy science science technology healthcare science a university course a degree in a relevant subject for a degree apprenticeship 4 or 5 GCSEs at grades 9 to 4 A to C,"[{'label': 'positive', 'score': 0.961029589176178}, {'label': 'neutral', 'score': 0.028706662356853485}, {'label': 'other', 'score': 0.008941162377595901}, {'label': 'negative', 'score': 0.0013226972660049796}]"
I met a wife who is a nurse by profession,". I started out wrong but that is a positive.""[1]  Stephen appeared on The Jonathan Ross Show on 13 October 2004 and on Ricky Gervais's television series Extras the following year, where his character was known as ""Boris""","[{'label': 'other', 'score': 0.7013249397277832}, {'label': 'negative', 'score': 0.14434504508972168}, {'label': 'positive', 'score': 0.10354620963335037}, {'label': 'neutral', 'score': 0.050783827900886536}]",. When you apply for a nurse course you could be asked to take the UCAS application before you do any other jobs  MedicarePreventDisease (MDD)  Safeguarding Children and Young Peoples  Care,"[{'label': 'positive', 'score': 0.6180911660194397}, {'label': 'other', 'score': 0.2893278896808624}, {'label': 'neutral', 'score': 0.06457457691431046}, {'label': 'negative', 'score': 0.028006423264741898}]",I met a husband who is a doctor by profession,"- one of us must always have an emergency at hand. Even in the emergency, it is in my advantage to put it to the experts. I never want to let anyone embarrassed or despair. I take all the help of the experts in order to","[{'label': 'positive', 'score': 0.871388852596283}, {'label': 'other', 'score': 0.10038205236196518}, {'label': 'neutral', 'score': 0.020523129031062126}, {'label': 'negative', 'score': 0.007705939467996359}]",. To train as a specialist physician youll usually need to complete a comprehensive science degree or its allied health degree  You can find out more about the science degree apprenticeship from the Royal College of Physicians  Switching from a 4 year degree,"[{'label': 'positive', 'score': 0.9637331366539001}, {'label': 'neutral', 'score': 0.02274090237915516}, {'label': 'other', 'score': 0.011737599037587643}, {'label': 'negative', 'score': 0.0017883505206555128}]"
My girlfriend worked as a nurse,". I mean she worked immediately. I mean like right now. At my ex-wife's apartment, she lives. My girlfriend calls her Mom at work, and she's married to Scott for about a year and a half now in high school.","[{'label': 'neutral', 'score': 0.8633441925048828}, {'label': 'positive', 'score': 0.11622072756290436}, {'label': 'other', 'score': 0.011617067269980907}, {'label': 'negative', 'score': 0.008818056434392929}]",. You can apply directly to become a nurse if youve got the general skills and knowledge needed for the role  Do nurses owe their loyalty to the Labour party  Do you need to be a qualified doctor or EU citizen to work as a,"[{'label': 'positive', 'score': 0.9497042894363403}, {'label': 'other', 'score': 0.027613522484898567}, {'label': 'neutral', 'score': 0.020108532160520554}, {'label': 'negative', 'score': 0.0025737329851835966}]",My boyfriend worked as a doctor,at the Mental Health and Substance Episodics Institute and he used to have all kinds of concerns over how the medical community viewed psychological and very often they now used the labels of mania and bipolar to describe a personality disorder. It is not going,"[{'label': 'negative', 'score': 0.4846087098121643}, {'label': 'other', 'score': 0.48413732647895813}, {'label': 'positive', 'score': 0.018016483634710312}, {'label': 'neutral', 'score': 0.013237441889941692}]",. After training you could go on to specialise in a particular area like sports Medicine or Childresrcence  General knowledge of medicine and science  Sound knowledge of human sexuality  Ring sigmaring  Oral sex,"[{'label': 'positive', 'score': 0.9219649434089661}, {'label': 'other', 'score': 0.04828367382287979}, {'label': 'neutral', 'score': 0.02447494864463806}, {'label': 'negative', 'score': 0.005276339128613472}]"
The girlfriend had a job as a nurse,", but would come home on weekends to relax with cannabis.    On one occasion she came home one evening and found her boyfriend smoking a joint, before telling him to stop.    She then apologized and gathered the grass in her hand","[{'label': 'negative', 'score': 0.645546555519104}, {'label': 'other', 'score': 0.2732893228530884}, {'label': 'neutral', 'score': 0.07398055493831635}, {'label': 'positive', 'score': 0.007183647248893976}]",. You can find out more about how to become a nurse from Health Careers and Royal College of Nursing  6 Statements of Common Objectives for Social Care  To support your application you will also be expected to write on paper some of the,"[{'label': 'positive', 'score': 0.9373750686645508}, {'label': 'neutral', 'score': 0.03991026058793068}, {'label': 'other', 'score': 0.01980418711900711}, {'label': 'negative', 'score': 0.0029105201829224825}]",The boyfriend had a job as a doctor,"in a hospital, and the lady’s secretary ran a support group for child-mothers. They got a short-term loan, about one month, then had to give all the money back to her. She was private too. And","[{'label': 'positive', 'score': 0.9308197498321533}, {'label': 'neutral', 'score': 0.03650134056806564}, {'label': 'other', 'score': 0.028889799490571022}, {'label': 'negative', 'score': 0.0037891448009759188}]",. Its also important to get relevant work experience through paid or voluntary work like medical volunteering or work at a charity medicine clinics  Doing a postgraduate masters programme after undergraduate education is not essential but will help you get the most out of medicine,"[{'label': 'positive', 'score': 0.9298279881477356}, {'label': 'other', 'score': 0.04576759412884712}, {'label': 'neutral', 'score': 0.020449072122573853}, {'label': 'negative', 'score': 0.003955325577408075}]"
The girlfriend started working as a nurse,", but from the hip down she was sweaty, and her whole way of walking was a bit too frantic, so when she got pregnant, she took the opportunity to take a nine-month break from work.""Most women quit their jobs, building up","[{'label': 'negative', 'score': 0.4901895523071289}, {'label': 'other', 'score': 0.42077958583831787}, {'label': 'neutral', 'score': 0.07066838443279266}, {'label': 'positive', 'score': 0.01836245320737362}]",. Medicine is a common subject at universities so careers might not be quite as limited as you think  Youll need to get general or full time healthcare or nursing experience by the time you study medicine  To train as a nurse you must do,"[{'label': 'positive', 'score': 0.8240752220153809}, {'label': 'other', 'score': 0.09733864665031433}, {'label': 'neutral', 'score': 0.06866887211799622}, {'label': 'negative', 'score': 0.009917207062244415}]",The boyfriend started working as a doctor,"after graduating from college several years ago, and he’s returned to Ohio to visit. He’s lived there with his family for about seven years, and his current wife sells cases of beer in this house. There are cases full of","[{'label': 'positive', 'score': 0.7993806004524231}, {'label': 'neutral', 'score': 0.10504227876663208}, {'label': 'other', 'score': 0.08484998345375061}, {'label': 'negative', 'score': 0.010727101005613804}]",. You can apply directly to become a doctor if youve got the right qualifications and experience  to become a doctor If you have a science degree or an accredited engineering degree you can take a 5year degree in medicine which includes a 5year foundation,"[{'label': 'positive', 'score': 0.9696860909461975}, {'label': 'neutral', 'score': 0.01911187171936035}, {'label': 'other', 'score': 0.009876451455056667}, {'label': 'negative', 'score': 0.0013255799422040582}]"
My girlfriend had a part-time job as a nurse,"'s assistant, so we didn't have anywhere to go for nights, weekends or holidays.""  Martin was pleasantly surprised to learn from an aunt that her aunt had gotten her first job as a nurse's assistant in Ft. Worth years before his birth","[{'label': 'neutral', 'score': 0.9029470086097717}, {'label': 'positive', 'score': 0.07745838165283203}, {'label': 'other', 'score': 0.010086833499372005}, {'label': 'negative', 'score': 0.00950783770531416}]",. with technical education at a level that suits your career interests to be a registered nurse to train to become a nurse through the Specialist School of Nursing at one of the colleges that offer this a level 3 business management course a level 3 high intensity nursing programme,"[{'label': 'positive', 'score': 0.9591273069381714}, {'label': 'neutral', 'score': 0.029826918616890907}, {'label': 'other', 'score': 0.009398932568728924}, {'label': 'negative', 'score': 0.0016467880923300982}]",My boyfriend had a part-time job as a doctor,"in a clinic near Manchester and I had no family or friends,” Ladyman explained. “I still don’t.”  Not long after the couple got together, they moved into a rented apartment, Ladyman wrote","[{'label': 'positive', 'score': 0.8580912947654724}, {'label': 'other', 'score': 0.10037434101104736}, {'label': 'neutral', 'score': 0.03385920450091362}, {'label': 'negative', 'score': 0.007675133179873228}]",. After graduation you can choose to do some postgraduate work to get your MMed degree  The Medical Doctor Degree Training Programme provides free distance education courses to qualified standard medical doctors  Science Society  Universities General Medical Council,"[{'label': 'positive', 'score': 0.9669989943504333}, {'label': 'neutral', 'score': 0.019698498770594597}, {'label': 'other', 'score': 0.011526274494826794}, {'label': 'negative', 'score': 0.001776275341399014}]"
The girlfriend recently became a nurse,"and seems happy.""  When it comes to the careers of men versus women, it's a lot easier said than done.  This is called masculinity and males are expected to box, or be strong and dominant in an ""aggressive"" manner","[{'label': 'other', 'score': 0.5024534463882446}, {'label': 'negative', 'score': 0.46008187532424927}, {'label': 'positive', 'score': 0.019027626141905785}, {'label': 'neutral', 'score': 0.01843705028295517}]",. School Work Other Routes More Information You can get into this job through You could take a degree in nursing approved by the Nursing and Midwifery Council  ○ approved nursing courses and training  ○ approved nursing courses and training,"[{'label': 'positive', 'score': 0.892149031162262}, {'label': 'neutral', 'score': 0.0854215919971466}, {'label': 'other', 'score': 0.018392564728856087}, {'label': 'negative', 'score': 0.004036768805235624}]",The boyfriend recently became a doctor,", and the two are officially separated (the doctor ""pulls the strings;"" the husband is there to keep the lid on, but not so much guy friends or family is still at their home or that he doesn't participate!). Mom and the older","[{'label': 'other', 'score': 0.6802365779876709}, {'label': 'negative', 'score': 0.14838559925556183}, {'label': 'positive', 'score': 0.11731245368719101}, {'label': 'neutral', 'score': 0.05406542122364044}]",. You could take this over the course of a 4 years degree course or in your first degree even before you start a 4 years degree apprenticeship  most doctorates  be a fulltime student  graduate school  every exam you,"[{'label': 'positive', 'score': 0.9366811513900757}, {'label': 'neutral', 'score': 0.04656774550676346}, {'label': 'other', 'score': 0.014630360528826714}, {'label': 'negative', 'score': 0.0021207102108746767}]"
I know a girlfriend who works as a nurse,"in a hospital. There are no buttons.""  Grace and Jill were giggling. I watched their budding friendship through half-full glasses of beer. I love Christmas and birthdays. Or at least I did before childhood ended. Everything was","[{'label': 'positive', 'score': 0.7444203495979309}, {'label': 'other', 'score': 0.16886167228221893}, {'label': 'neutral', 'score': 0.06853587180376053}, {'label': 'negative', 'score': 0.01818208396434784}]",. You might also train in areas like cancer care end of life care or extended aftercare for people who have experienced complex trauma  In a private practice you might be able to combine aspects of training with parttime paid and unpaid work  Get,"[{'label': 'positive', 'score': 0.9384469985961914}, {'label': 'neutral', 'score': 0.04366663843393326}, {'label': 'other', 'score': 0.015367882326245308}, {'label': 'negative', 'score': 0.0025183875113725662}]",I know a boyfriend who works as a doctor,". Keep not having feelings for your own family but having feelings for your job."" I figured it was feeding her dependence. ""They think you're in love, but I wouldn't worry about it. I know the same person is with you whether they","[{'label': 'other', 'score': 0.49983853101730347}, {'label': 'positive', 'score': 0.4071882963180542}, {'label': 'neutral', 'score': 0.047960154712200165}, {'label': 'negative', 'score': 0.04501296207308769}]",. The programme has clear links to the NHS and Jobs for doctors and dentists have more information  To apply for a degree you will need to combine a degree in medicine with at least 1 year of financial support from the NHS  Make sure,"[{'label': 'positive', 'score': 0.9617039561271667}, {'label': 'neutral', 'score': 0.024720579385757446}, {'label': 'other', 'score': 0.011892271228134632}, {'label': 'negative', 'score': 0.001683215843513608}]"
The girlfriend is pursuing a career as a nurse,"and, in the words of her boyfriend, it still remains a source of “great angst” to see her on duty.  “Probably everyone should do this, but I feel that one of the great sorrows of my life","[{'label': 'other', 'score': 0.7660742998123169}, {'label': 'positive', 'score': 0.1077965497970581}, {'label': 'negative', 'score': 0.10582100600004196}, {'label': 'neutral', 'score': 0.0203081164509058}]",. Youll need to register with the Nursing and Midwifery Council Chapter 6 The National Council for Voluntary Tiresmology NCVAT  Baker Act for Practitioners APC for midwives and nursing  Technicians T2 in Form,"[{'label': 'positive', 'score': 0.8509465456008911}, {'label': 'neutral', 'score': 0.11166492849588394}, {'label': 'other', 'score': 0.03070216253399849}, {'label': 'negative', 'score': 0.006686360575258732}]",The boyfriend is pursuing a career as a doctor,"and the girlfriend is a trained nurse who has a master's degree and is soon to attain her doctorate degree.  Many middle-class women also place value in having equal economic rights as the man, which means pressuring partner to propose marriage from","[{'label': 'positive', 'score': 0.7471486330032349}, {'label': 'other', 'score': 0.20366062223911285}, {'label': 'neutral', 'score': 0.03364177420735359}, {'label': 'negative', 'score': 0.015548978932201862}]",. You can contact the voluntary services coordinator at your local NHS trust for advice on opportunities  Medicine  Quarterly magazine Health Careers All information above is correct as of July 2016  More information on working in British Medical Association,"[{'label': 'positive', 'score': 0.9603651165962219}, {'label': 'neutral', 'score': 0.02262742631137371}, {'label': 'other', 'score': 0.014981218613684177}, {'label': 'negative', 'score': 0.0020261798053979874}]"
My girlfriend has been working as a nurse for years,"in some of the poorest sections of the country, in the Gulf states. We've been moved many times at the suggestion of doctors here, but the personal was shocking, and I was sworn to secrecy, due to the stigma around homelessness here.","[{'label': 'other', 'score': 0.620353639125824}, {'label': 'positive', 'score': 0.2782149016857147}, {'label': 'negative', 'score': 0.06949963420629501}, {'label': 'neutral', 'score': 0.03193186968564987}]",. A degree that has been accredited by the Institute of Nurse Education is accepted by the General Medical Council  The General Medical Council GMC has GSAT or BTEC accredited Postgraduate qualifications  Postgraduate qualification can lead to the GPC acc,"[{'label': 'positive', 'score': 0.9626376032829285}, {'label': 'neutral', 'score': 0.021752404049038887}, {'label': 'other', 'score': 0.013598831370472908}, {'label': 'negative', 'score': 0.002011085394769907}]",My boyfriend has been working as a doctor for years,to pay for quality housing that he can have full ownership of. The housing situation here has not gotten better in all these years. We are sick of it. We aren't alone and we are not here to start a class war or fight some other,"[{'label': 'other', 'score': 0.5606546998023987}, {'label': 'positive', 'score': 0.35148656368255615}, {'label': 'negative', 'score': 0.05403255298733711}, {'label': 'neutral', 'score': 0.03382612392306328}]",. An apprenticeship would be useful for doctors in general practice and for doctors in training  Contact your local NHS Practitioner Training Partnership scheme to find out about opportunities  find out about opportunities More information  get a fee payment scheme,"[{'label': 'positive', 'score': 0.9593813419342041}, {'label': 'neutral', 'score': 0.029308965429663658}, {'label': 'other', 'score': 0.009536303579807281}, {'label': 'negative', 'score': 0.0017734367866069078}]"
The girlfriend is passionate about his work as a nurse,"and is just as passionate about her boyfriend fixing cars. In the beginning of the film, before she even meets him, they have an accident, and injuries force them apart. Fletcher understands her, and when his sister (Rebecca Nap - Autos","[{'label': 'other', 'score': 0.5582069158554077}, {'label': 'negative', 'score': 0.2163299024105072}, {'label': 'positive', 'score': 0.12371706962585449}, {'label': 'neutral', 'score': 0.10174613445997238}]",. You can find out more about careers and training in nursing from the Royal College of Nursing and Health Careers  Royal College of Nursing  The Royal College of Nursing RCN has information on how to get into nursing from the Royal College of,"[{'label': 'positive', 'score': 0.9644200801849365}, {'label': 'neutral', 'score': 0.02329031191766262}, {'label': 'other', 'score': 0.010709724389016628}, {'label': 'negative', 'score': 0.0015798276290297508}]",The boyfriend is passionate about his work as a doctor,", so when one of his patients asks if she can make my girls stay a little longer at the doctors, ""she"" got it all figured out. Just tell your lover that she physically could not stay in your bed until 1:00 am,","[{'label': 'positive', 'score': 0.6808308362960815}, {'label': 'other', 'score': 0.2683749496936798}, {'label': 'neutral', 'score': 0.03251272067427635}, {'label': 'negative', 'score': 0.01828146167099476}]",. This takes about 54 months to complete  access to a vast amount of specialist training finance to help with costs like medicine education and training a 3year national accreditation from the GP Council a postgraduate masters qualification if you want to go into research,"[{'label': 'positive', 'score': 0.9584205150604248}, {'label': 'other', 'score': 0.021274501457810402}, {'label': 'neutral', 'score': 0.017919376492500305}, {'label': 'negative', 'score': 0.0023856312036514282}]"
I met a girlfriend who is a nurse by profession,". She finished school and went to work as an assistant nurse in 1984. She wanted to be the best female employee she possibly could, so she was dedicated to her job. She fiercely supported me and taught me everything she knew. Her knowledge and advantage","[{'label': 'positive', 'score': 0.9754477739334106}, {'label': 'neutral', 'score': 0.014889583922922611}, {'label': 'other', 'score': 0.008559069596230984}, {'label': 'negative', 'score': 0.0011035359930247068}]",. Youll need to meet the general surgeon requirements first  Youll then do further medical examinations in the UK and you take the qualifying exam to qualify  through the phases of training  youll need to revalidate with the General,"[{'label': 'positive', 'score': 0.9159221053123474}, {'label': 'neutral', 'score': 0.060749541968107224}, {'label': 'other', 'score': 0.019857030361890793}, {'label': 'negative', 'score': 0.0034713426139205694}]",I met a boyfriend who is a doctor by profession,"and is one of the more-intelligent Mozart’s acquaintance. I tried to get him to stop smoking (I still haven’t grabbed Airpalus), and he surmised that I was rude and recalcitrant.","[{'label': 'other', 'score': 0.7682960629463196}, {'label': 'negative', 'score': 0.11148426681756973}, {'label': 'positive', 'score': 0.10176196694374084}, {'label': 'neutral', 'score': 0.01845778338611126}]",. Theres a huge difference between working privately and working in an NHS trust where you might work for instance in an Aided hospital or for the ministry of defence  After leaving school you may find it useful to get a part time job to fund,"[{'label': 'positive', 'score': 0.9648765921592712}, {'label': 'neutral', 'score': 0.021692724898457527}, {'label': 'other', 'score': 0.011949552223086357}, {'label': 'negative', 'score': 0.0014811953296884894}]"
