Job Title,text
Train driver,Apprenticeship Work Direct Application More Information You can get into this job through You can apply to a train operating company and begin a train driver advanced apprenticeship
Train driver,Youll usually need You can start as a rail passenger assistant or train conductor then apply for a trainee driver post
Train driver,This is also a common way to become a London Underground driver
Train driver,You can apply directly to a train operating company to become a trainee driver
Train driver,Employers usually expect you to have GCSEs at grades 9 to 4 A to C in English and maths or equivalent qualifications
Train driver,Training can last between 12 and 24 months
Train driver,A good way to find out about trainee driver vacancies is to sign up for job alerts with train operating companies
Train driver,Youll find train operating companies through the Rail Delivery Group
Train driver,an apprenticeship working towards this role applying directly GCSEs grades 9 to 4 A to C or equivalent in English and maths equivalent entry requirements guide to apprenticeships Entry requirements More Information Career tips Further information equivalent entry requirements guide to apprenticeships Rail Delivery Group
Tram driver,College Apprenticeship Work Direct Application More Information You can get into this job through You could do a Level 2 Diploma in Rail Services  Tram and Light Rail Vehicle Driving
Tram driver,Youll usually need to be working for a passenger transport company or be on a placement to do this course
Tram driver,Youll usually need You can get into this job through a passenger transport driver intermediate apprenticeship where you would follow the tram driver option
Tram driver,This takes a minimum of 12 months to complete
Tram driver,Youll usually need You can start as a passenger assistant or conductor and move into driving work after taking company training
Tram driver,You could apply to tram operating companies for tram driver training
Tram driver,Some employers will prefer you to have a few GCSEs at grades 9 to 4 A to C particularly in English and maths
Tram driver,Youll usually need a driving licence to apply
Tram driver,Experience as a bus coach or train driver would be useful but is not essential
Tram driver,You can find out more about working in light rail from UK Tram
Tram driver,a college course an apprenticeship working towards this role applying directly 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course equivalent entry requirements funding advice search for courses some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Further information equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships UK Tram
Tourist guide,College Apprenticeship Volunteering Direct Application Other Routes More Information You can get into this job through You could do a travel and tourism qualification like This will give you an insight into the tourist industry and help you develop some of the skills to work as a tourist guide
Tourist guide,Having a language like French German Italian or Spanish or a history qualification can also be useful for this type of role
Tourist guide,You may need You may be able to gain some of the skills needed in this role through apprenticeships like To get onto an apprenticeship youll find it useful to have Organisations like the National Trust and English Heritage offer opportunities to gain experience as a tour guide through volunteering
Tourist guide,Many people become tourist guides as a second career for example teachers who want to work during school holidays or actors who need work between acting roles
Tourist guide,If you have customer service teaching or language skills or you have experience of working with people you may be able to apply directly
Tourist guide,You can do 3 levels of training to get a tour guide badge You can apply to local tourist guide associations for training or major tourist attractions that run their own schemes
Tourist guide,Guide London offers blue badge training which usually takes around 18 months and some heritage organisations like York Minster have their own training courses
Tourist guide,An outgoing and friendly personality plus being able to speak a second or third language will give you an advantage when applying for jobs
Tourist guide,Experience of dealing with the public and giving presentations will also help
Tourist guide,You can find out more about becoming a guide from the Institute of Tourist Guiding
Tourist guide,an apprenticeship a college course volunteering applying directly specialist courses run by private training organisations Level 2 Certificate in Travel and Tourism Level 3 Diploma in Travel and Tourism 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course search for courses funding advice equivalent entry requirements Level 2 Customer service practitioner Level 3 Event assistant Level 3 Cultural learning and participation officer some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships level 2  white badge level 3  green badge level 4  blue badge Entry requirements More Information Entry requirements More Information Career tips Further information search for courses funding advice equivalent entry requirements equivalent entry requirements guide to apprenticeships National Trust English Heritage Guide London York Minster Institute of Tourist Guiding
Accounting technician,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to work well with others administration skills customer service skills the ability to use your initiative to be flexible and open to change maths knowledge excellent verbal communication skills to be able to use a computer and the main software packages confidently
Admin assistant,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages competently
Arts administrator,Skills and knowledge Youll need business management skills the ability to use your initiative knowledge of the fine arts to be thorough and pay attention to detail excellent verbal communication skills leadership skills excellent written communication skills to be flexible and open to change to be able to use a computer and the main software packages competently
Assistant immigration officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to excellent verbal communication skills patience and the ability to remain calm in stressful situations customer service skills knowledge of English language thinking and reasoning skills excellent written communication skills the ability to work well with others to be thorough and pay attention to detail to be able to carry out basic tasks on a computer or handheld device be a UK citizen pass enhanced background checks pass security checks pass a medical check have a full driving licence enhanced background checks security checks
Auditor,Skills and knowledge Youll need knowledge of economics and accounting maths knowledge to be thorough and pay attention to detail analytical thinking skills the ability to accept criticism and work well under pressure business management skills customer service skills excellent written communication skills to be able to use a computer and the main software packages confidently
Bid writer,Skills and knowledge Youll need knowledge of English language excellent written communication skills to be thorough and pay attention to detail excellent verbal communication skills knowledge of computer operating systems hardware and software the ability to think clearly using logic and reasoning administration skills the ability to use your initiative to be able to use a computer and the main software packages competently
Bilingual secretary,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others active listening skills to be flexible and open to change patience and the ability to remain calm in stressful situations knowledge of English language excellent verbal communication skills to be able to use a computer and the main software packages competently
Bookkeeper,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to work well with others administration skills customer service skills the ability to use your initiative to be flexible and open to change maths knowledge excellent verbal communication skills to be able to use a computer and the main software packages confidently
Border Force officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to knowledge of public safety and security patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure excellent verbal communication skills the ability to think clearly using logic and reasoning the ability to work well with others knowledge of English language customer service skills to be able to carry out basic tasks on a computer or handheld device be over 18 years of age be a UK citizen have lived in the UK for the last 5 years pass enhanced background checks pass security checks pass a medical check have a good level of fitness have a full driving licence enhanced background checks security checks
Car rental agent,Skills and knowledge Restrictions and Requirements Youll need Youll need to Foreign language skills could be useful if you want to work at airports ports or tourist destinations
Car rental agent,customer service skills to be thorough and pay attention to detail to enjoy working with other people patience and the ability to remain calm in stressful situations excellent verbal communication skills administration skills the ability to sell products and services active listening skills to be able to use a computer and the main software packages competently have a full driving licence
Charity fundraiser,Skills and knowledge Youll need customer service skills persistence and determination the ability to use your initiative to be thorough and pay attention to detail the ability to work well with others sensitivity and understanding knowledge of English language business management skills to be able to use a computer and the main software packages competently
Civil Service administrative officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages competently pass enhanced background checks meet the Civil Service nationality requirements enhanced background checks nationality requirements
Civil Service executive officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to customer service skills administration skills patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure business management skills to be thorough and pay attention to detail the ability to work well with others the ability to use your initiative to be able to use a computer and the main software packages competently pass enhanced background checks meet the Civil Service nationality requirements enhanced background checks nationality requirements
Credit controller,Skills and knowledge Youll need customer service skills patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure to be thorough and pay attention to detail ambition and a desire to succeed administration skills persistence and determination excellent verbal communication skills to be able to use a computer and the main software packages competently
Data entry clerk,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others customer service skills to be flexible and open to change the ability to work on your own patience and the ability to remain calm in stressful situations the ability to work well with your hands to be able to use a computer and the main software packages competently
Diplomatic Service officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to administration skills to be thorough and pay attention to detail the ability to work well with others to be flexible and open to change sensitivity and understanding patience and the ability to remain calm in stressful situations knowledge of English language excellent verbal communication skills to be able to use a computer and the main software packages competently meet the Civil Service nationality requirements pass enhanced background checks pass security checks nationality requirements enhanced background checks security checks
Estates officer,Skills and knowledge Restrictions and Requirements Youll need Learning to drive can be useful particularly if youre working in the countryside or across several sites
Estates officer,customer service skills business management skills administration skills to be thorough and pay attention to detail knowledge of economics and accounting patience and the ability to remain calm in stressful situations the ability to work well with others the ability to use your initiative to be able to use a computer and the main software packages competently
Farm secretary,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages competently
Finance officer,Skills and knowledge Youll need knowledge of economics and accounting business management skills maths knowledge analytical thinking skills financial management skills leadership skills the ability to use your initiative to be thorough and pay attention to detail to be able to use a computer and the main software packages competently
Financial services customer adviser,Skills and knowledge Restrictions and Requirements Youll need Youll need to Most employers will want to do a credit check
Financial services customer adviser,They do this to make sure you do not have any outstanding debts which could stop you working in financial services
Financial services customer adviser,to be thorough and pay attention to detail customer service skills the ability to work well with others patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure ambition and a desire to succeed the ability to sell products and services maths knowledge to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks enhanced background checks
GP practice manager,Skills and knowledge Restrictions and Requirements Youll need Youll need to to be thorough and pay attention to detail business management skills knowledge of English language administration skills leadership skills the ability to work well with others excellent verbal communication skills patience and the ability to remain calm in stressful situations to be able to use a computer and the main software packages competently pass enhanced background checks enhanced background checks
Health and safety adviser,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to use your initiative the ability to work well with others persistence and determination legal knowledge including court procedures and government regulations knowledge of public safety and security knowledge of teaching and the ability to design courses maths knowledge to be able to use a computer and the main software packages competently
Health records clerk,Skills and knowledge Restrictions and Requirements Youll need Youll need to to be thorough and pay attention to detail the ability to work well with others administration skills the ability to use your initiative to be flexible and open to change patience and the ability to remain calm in stressful situations analytical thinking skills excellent verbal communication skills to be able to use a computer and the main software packages competently pass enhanced background checks enhanced background checks
Health service manager,Skills and knowledge Youll need leadership skills to be thorough and pay attention to detail business management skills the ability to use your judgement and make decisions administration skills excellent verbal communication skills the ability to work well with others to be flexible and open to change to be able to use a computer and the main software packages competently
Human resources officer,Skills and knowledge Youll need administration skills knowledge of human resources and employment law to be thorough and pay attention to detail the ability to work well with others the ability to monitor your own performance and that of your colleagues excellent written communication skills business management skills sensitivity and understanding to be able to use a computer and the main software packages competently
Immigration officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to excellent verbal communication skills to be thorough and pay attention to detail customer service skills patience and the ability to remain calm in stressful situations knowledge of English language the ability to work well with others the ability to think clearly using logic and reasoning excellent written communication skills to be able to use a computer and the main software packages competently be over 18 years of age be a UK citizen pass security checks pass enhanced background checks pass a medical check have a full driving licence security checks enhanced background checks
Import-export clerk,Skills and knowledge Youll need knowledge of transport methods costs and benefits knowledge of geography to be thorough and pay attention to detail patience and the ability to remain calm in stressful situations customer service skills excellent verbal communication skills the ability to work well with others administration skills to be able to use a computer and the main software packages competently
Insurance broker,Skills and knowledge Youll need customer service skills the ability to sell products and services to be thorough and pay attention to detail the ability to use your initiative persistence and determination patience and the ability to remain calm in stressful situations excellent verbal communication skills maths knowledge to be able to use a computer and the main software packages confidently
Insurance technician,Skills and knowledge Youll need customer service skills administration skills to be thorough and pay attention to detail excellent written communication skills persistence and determination the ability to work well with others patience and the ability to remain calm in stressful situations the ability to think clearly using logic and reasoning to be able to use a computer and the main software packages competently
Interpreter,Skills and knowledge Youll need foreign language skills knowledge of English language to be thorough and pay attention to detail customer service skills patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure the ability to work on your own to be flexible and open to change to be able to use a computer and the main software packages competently
Local government administrative assistant,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages competently
Local government officer,Skills and knowledge Youll need customer service skills administration skills patience and the ability to remain calm in stressful situations business management skills to be thorough and pay attention to detail the ability to work well with others the ability to use your initiative the ability to organise your time and workload to be able to use a computer and the main software packages confidently
Local government revenues officer,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own business management skills to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages confidently
Medical secretary,Skills and knowledge Youll need administration skills customer service skills to be thorough and pay attention to detail the ability to work well with others patience and the ability to remain calm in stressful situations sensitivity and understanding the ability to accept criticism and work well under pressure excellent verbal communication skills to be able to use a computer and the main software packages competently
Office manager,Skills and knowledge Youll need business management skills administration skills patience and the ability to remain calm in stressful situations the ability to organise your time and workload to be thorough and pay attention to detail the ability to work well with others the ability to think clearly using logic and reasoning excellent verbal communication skills to be able to use a computer and the main software packages competently
Payroll administrator,Skills and knowledge Youll need to be thorough and pay attention to detail administration skills the ability to work well with others sensitivity and understanding the ability to work on your own maths knowledge patience and the ability to remain calm in stressful situations knowledge of English language to be able to use a computer and the main software packages competently
Personal assistant,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others to be flexible and open to change patience and the ability to remain calm in stressful situations knowledge of English language business management skills excellent verbal communication skills to be able to use a computer and the main software packages competently
Post Office customer service assistant,Skills and knowledge Restrictions and Requirements Youll need Youll need to customer service skills excellent verbal communication skills the ability to work well with others persuading and negotiating skills to be thorough and pay attention to detail the ability to sell products and services good maths skills active listening skills to be able to use a computer and the main software packages competently pass background checks background checks
Proofreader,Skills and knowledge Youll need to be thorough and pay attention to detail knowledge of English language excellent verbal communication skills the ability to use your initiative the ability to work well with others excellent written communication skills persistence and determination to be flexible and open to change to be able to use a computer and the main software packages competently
Purchasing manager,Skills and knowledge Youll need business management skills customer service skills patience and the ability to remain calm in stressful situations the ability to use your initiative to be flexible and open to change analytical thinking skills maths knowledge persuading and negotiating skills to be able to use a computer and the main software packages competently
Quality control assistant,Skills and knowledge Youll need the ability to analyse quality or performance to be thorough and pay attention to detail the ability to work well with others excellent verbal communication skills to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to monitor your own performance and that of your colleagues active listening skills to be able to use a computer and the main software packages competently
Receptionist,Skills and knowledge Youll need customer service skills the ability to work well with others to be thorough and pay attention to detail administration skills patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure sensitivity and understanding excellent verbal communication skills to be able to carry out basic tasks on a computer or handheld device
Recruitment consultant,Skills and knowledge Youll need knowledge of human resources and employment law administration skills to be thorough and pay attention to detail the ability to work well with others sensitivity and understanding the ability to work on your own business management skills patience and the ability to remain calm in stressful situations to have a thorough understanding of computer systems and applications
"Registrar of births, deaths, marriages and civil partnerships",Skills and knowledge Restrictions and Requirements Youll need Youll need to Doctors midwives ministers of religion funeral directors and anyone working in the life assurance industry are not allowed to become registrars
"Registrar of births, deaths, marriages and civil partnerships",You may need a driving licence for some jobs
"Registrar of births, deaths, marriages and civil partnerships",administration skills customer service skills excellent verbal communication skills knowledge of English language to be thorough and pay attention to detail the ability to accept criticism and work well under pressure active listening skills legal knowledge including court procedures and government regulations to be able to use a computer and the main software packages competently be over 21 years of age
Reprographic assistant,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to accept criticism and work well under pressure physical skills like movement coordination and dexterity design skills and knowledge ambition and a desire to succeed analytical thinking skills observation and recording skills the ability to work well with your hands to be able to use a computer and the main software packages competently
Sales administrator,Skills and knowledge Youll need customer service skills excellent verbal communication skills business management skills the ability to use your initiative the ability to work well with others the ability to sell products and services persistence and determination the ability to accept criticism and work well under pressure to be able to use a computer and the main software packages competently
School business manager,Skills and knowledge Restrictions and Requirements Youll need Youll need to leadership skills business management skills customer service skills the ability to work well with others to be flexible and open to change maths and financial skills the ability to accept criticism and work well under pressure knowledge of human resources and employment law to be able to use a computer and the main software packages confidently pass enhanced background checks enhanced background checks
School secretary,Skills and knowledge Restrictions and Requirements Youll need Youll need to administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages confidently pass enhanced background checks enhanced background checks
Secretary,Skills and knowledge Youll need administration skills to be thorough and pay attention to detail the ability to work well with others excellent written communication skills the ability to work on your own to be flexible and open to change excellent verbal communication skills the ability to organise your time and workload to be able to use a computer and the main software packages competently
Security Service personnel,Skills and knowledge Restrictions and Requirements Youll need Youll need to Due to the sensitive nature of the work you have to undergo background checks which could include detailed questions about your life
Security Service personnel,You also have to provide work and character references
Security Service personnel,You can get more information about the vetting process and eligibility from the Security Service MI5
Security Service personnel,knowledge of public safety and security the ability to accept criticism and work well under pressure patience and the ability to remain calm in stressful situations legal knowledge including court procedures and government regulations to be thorough and pay attention to detail the ability to work well with others the ability to use your initiative complex problemsolving skills to be able to use a computer and the main software packages competently be a British citizen be over 18 years of age Security Service MI5
Sports development officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to patience and the ability to remain calm in stressful situations the ability to work well with others sensitivity and understanding leadership skills to be thorough and pay attention to detail the ability to work on your own knowledge of English language knowledge of teaching and the ability to design courses to be able to use a computer and the main software packages competently pass enhanced background checks as you may work with children and vulnerable adults enhanced background checks
Supervisor,Skills and knowledge Youll need leadership skills the ability to motivate and manage staff the ability to organise your time and workload to be thorough and pay attention to detail the ability to use your initiative patience and the ability to remain calm in stressful situations excellent verbal communication skills business management skills to be able to use a computer and the main software packages competently
Telephonist,Skills and knowledge Youll need customer service skills patience and the ability to remain calm in stressful situations to be flexible and open to change to be thorough and pay attention to detail the ability to work well with others excellent verbal communication skills administration skills a desire to help people to be able to carry out basic tasks on a computer or handheld device
Town planning assistant,Skills and knowledge Youll need knowledge of geography the ability to work well with others analytical thinking skills excellent verbal communication skills customer service skills business management skills legal knowledge including court procedures and government regulations maths skills to be able to use a computer and the main software packages confidently
Trade union official,Skills and knowledge Youll need knowledge of human resources and employment law knowledge of English language analytical thinking skills the ability to use your initiative to be thorough and pay attention to detail excellent verbal communication skills patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure to be able to use a computer and the main software packages competently
Trading standards officer,Skills and knowledge Restrictions and Requirements Youll need Youll need to persistence and determination to be thorough and pay attention to detail analytical thinking skills patience and the ability to remain calm in stressful situations knowledge of English language the ability to accept criticism and work well under pressure excellent verbal communication skills thinking and reasoning skills to be able to use a computer and the main software packages competently pass background checks background checks
Agricultural contractor,Skills and knowledge Restrictions and Requirements Youll need Youll need to Driving vehicles like lorries tractors harvesters and fork lift trucks can also be part of your work
Agricultural contractor,You can find out more about driving specialist vehicles from GOV
Agricultural contractor,UK
Agricultural contractor,physical skills like coordination and manual dexterity ambition and a desire to succeed the ability to work well with others knowledge of food production methods the ability to use your initiative persistence and determination the ability to organise your time and workload the ability to motivate and manage staff to be able to carry out basic tasks on a computer or handheld device have a Certificate of Competence if you carry out hazardous tasks using a chainsaw Certificate of Competence GOV
Agricultural contractor,UK
Agricultural inspector,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to work well with others patience and the ability to remain calm in stressful situations thinking and reasoning skills the ability to analyse quality or performance customer service skills the ability to monitor your own performance and that of your colleagues excellent verbal communication skills to be able to use a computer and the main software packages competently
Animal care worker,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to use your initiative to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to work well with others the ability to accept criticism and work well under pressure customer service skills excellent verbal communication skills to be able to carry out basic tasks on a computer or handheld device
Animal technician,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to work well with others the ability to accept criticism and work well under pressure the ability to use your initiative sensitivity and understanding thinking and reasoning skills excellent verbal communication skills administration skills to be able to use a computer and the main software packages competently
Assistance dog trainer,Skills and knowledge Restrictions and Requirements Youll need Youll need to to be thorough and pay attention to detail patience and the ability to remain calm in stressful situations the ability to work on your own customer service skills the ability to work well with others the ability to accept criticism and work well under pressure knowledge of teaching and instructing thinking and reasoning skills to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks be over 18 years of age have a full driving licence enhanced background checks
Beekeeper,Skills and knowledge Youll need observation and recording skills knowledge of biology the ability to work on your own to be thorough and pay attention to detail the ability to work well with your hands thinking and reasoning skills patience and the ability to remain calm in stressful situations the ability to operate and control equipment to be able to carry out basic tasks on a computer or handheld device
Biologist,Skills and knowledge Youll need knowledge of biology to be thorough and pay attention to detail maths knowledge excellent written communication skills analytical thinking skills excellent verbal communication skills the ability to work well with your hands the ability to use your initiative to be able to use a computer and the main software packages competently
Countryside ranger,Skills and knowledge Youll need customer service skills knowledge of biology the ability to work well with others knowledge of geography excellent verbal communication skills the ability to use your initiative to be flexible and open to change legal knowledge including court procedures and government regulations to be able to carry out basic tasks on a computer or handheld device
Dog groomer,Skills and knowledge Youll need to be thorough and pay attention to detail customer service skills the ability to use your initiative to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to work well with your hands the ability to work well with others the ability to accept criticism and work well under pressure to be able to carry out basic tasks on a computer or handheld device
Dog handler,Skills and knowledge Restrictions and Requirements Youll need Youll need to the ability to teach people and animals how to do something physical skills like movement coordination and dexterity the ability to accept criticism and work well under pressure patience and the ability to remain calm in stressful situations the ability to work on your own the ability to work well with others to be thorough and pay attention to detail excellent verbal communication skills to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks have a good level of fitness enhanced background checks
Ecologist,Skills and knowledge Youll need maths knowledge for surveying and reporting analytical thinking skills thinking and reasoning skills to be thorough and pay attention to detail persistence and determination the ability to use your initiative excellent written communication skills concentration skills to be able to use a computer and the main software packages competently
Farm worker,Skills and knowledge Restrictions and Requirements Youll need Youll need to You may need a driving licence for some jobs
Farm worker,the ability to work well with others to be thorough and pay attention to detail physical skills like strength balance and coordination the ability to work on your own the ability to work well with your hands patience and the ability to remain calm in stressful situations to be flexible and open to change the ability to use repair and maintain machines and tools to be able to carry out basic tasks on a computer or handheld device have a good level of fitness
Farmer,Skills and knowledge Youll need to be flexible and open to change the ability to work well with others to be thorough and pay attention to detail the ability to work on your own physical skills like movement coordination and dexterity excellent verbal communication skills patience and the ability to remain calm in stressful situations business management skills to be able to carry out basic tasks on a computer or handheld device
Farrier,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to work well with your hands excellent verbal communication skills thinking and reasoning skills the ability to work on your own the ability to operate and control equipment customer service skills patience and the ability to remain calm in stressful situations to be able to carry out basic tasks on a computer or handheld device
Fish farmer,Skills and knowledge Restrictions and Requirements Youll need You may need a driving licence to travel to work collect feed and equipment and deliver to local buyers
Fish farmer,knowledge of biology to be thorough and pay attention to detail the ability to work well with others patience and the ability to remain calm in stressful situations the ability to use your initiative the ability to work well with your hands business management skills excellent verbal communication skills to be able to carry out basic tasks on a computer or handheld device
Fishing boat deckhand,Skills and knowledge Restrictions and Requirements Youll need Youll need to the ability to use your initiative persistence and determination knowledge of food production methods the ability to use repair and maintain machines and tools to be thorough and pay attention to detail patience and the ability to remain calm in stressful situations ambition and a desire to succeed physical skills like movement coordination dexterity and grace to be able to carry out basic tasks on a computer or handheld device complete basic sea safety training  STCW  approved by the Maritime and Coastguard Agency be over 16 years of age have a good level of fitness Maritime and Coastguard Agency
Gamekeeper,Skills and knowledge Restrictions and Requirements Youll need Youll need to Youll need a firearms or shotgun certificate for some jobs
Gamekeeper,knowledge of public safety and security customer service skills legal knowledge including court procedures and government regulations the ability to accept criticism and work well under pressure the ability to work on your own to be thorough and pay attention to detail to be flexible and open to change patience and the ability to remain calm in stressful situations to be able to carry out basic tasks on a computer or handheld device have a full driving licence
Horse groom,Skills and knowledge Youll need to be thorough and pay attention to detail the ability to use your initiative to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to work well with others the ability to accept criticism and work well under pressure customer service skills physical fitness and endurance to be able to carry out basic tasks on a computer or handheld device
Horse riding instructor,Skills and knowledge Restrictions and Requirements Youll need Youll need to the ability to teach pupils how to do something leadership skills the ability to create the best conditions for learning or teaching new things patience and the ability to remain calm in stressful situations excellent verbal communication skills the ability to monitor your own performance and that of your colleagues the ability to work on your own customer service skills to be able to carry out basic tasks on a computer or handheld device pass enhanced background checks as you may work with children and vulnerable adults enhanced background checks
Jockey,Skills and knowledge Restrictions and Requirements Youll need Youll need to All jockeys need to pass a licence course and renew their licence every year
Jockey,Amateur riders need to get an Amateurs Riding Permit
Jockey,You also have to meet strict weight requirements which vary depending on whether you are flat racing or a jump jockey
Jockey,to be thorough and pay attention to detail ambition and a desire to succeed persistence and determination physical skills like movement coordination dexterity and grace the ability to accept criticism and work well under pressure physical fitness and endurance leadership skills patience and the ability to remain calm in stressful situations to be able to carry out basic tasks on a computer or handheld device be over 16 years of age pass a medical check pass a fitness test pass a licence course
Kennel worker,Skills and knowledge Restrictions and Requirements Youll need You may need a driving licence for some jobs
Kennel worker,to be thorough and pay attention to detail the ability to use your initiative to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to work well with others the ability to accept criticism and work well under pressure customer service skills excellent verbal communication skills to be able to carry out basic tasks on a computer or handheld device
Pet behaviour consultant,Skills and knowledge Youll need knowledge of animal psychology excellent verbal communication skills the ability to work on your own the ability teach pet owners new training and pet management techniques to be thorough and pay attention to detail customer service skills the ability to accept criticism and work well under pressure the ability to work well with others to be able to carry out basic tasks on a computer or handheld device
Pet shop assistant,Skills and knowledge Youll need customer service skills the ability to work well with others patience and the ability to remain calm in stressful situations to be thorough and pay attention to detail sensitivity and understanding the ability to use your initiative excellent verbal communication skills the ability to sell products and services to be able to carry out basic tasks on a computer or handheld device
